	functools.partial(<function _berger_parker at 0x7fe910f03240>)
BAQ2420.1.1	0.1732283464566929
BAQ2420.1.2	0.12028301886792453
BAQ2420.1.3	0.19271948608137046
BAQ2420.2	0.09437751004016064
BAQ2420.3	0.07603686635944701
BAQ2462.1	0.19636363636363635
BAQ2462.2	0.16450648055832504
BAQ2462.3	0.12362637362637363
BAQ2687.1	0.11222222222222222
BAQ2687.2	0.11443932411674347
BAQ2687.3	0.14931650893796003
BAQ2838.1	0.12808988764044943
BAQ2838.2	0.19866071428571427
BAQ2838.3	0.20304568527918782
BAQ3473.1	0.19745222929936307
BAQ3473.2	0.08592910848549946
BAQ3473.3	0.1011181332036947
BAQ4166.1.1	0.07250221043324491
BAQ4166.1.2	0.06983930778739184
BAQ4166.1.3	0.08898015058179329
BAQ4166.2	0.07453416149068323
BAQ4166.3	0.09566517189835576
BAQ4697.1	0.1513921113689095
BAQ4697.2	0.16749072929542647
BAQ4697.3	0.15487382483918852
YUN1005.1.1	0.2810755961440893
YUN1005.3	0.3034623217922607
YUN1242.1	0.2838616714697406
YUN1242.3	0.24342105263157895
YUN1609.1	0.504950495049505
YUN2029.2	0.1408243375858685
YUN3153.2	0.13530927835051546
YUN3153.3	0.16521739130434782
YUN3259.1.1	
YUN3259.1.2	0.176930596285435
YUN3259.1.3	0.2532467532467532
YUN3259.2	0.07853403141361257
YUN3259.3	0.1448736998514116
YUN3346.1	0.2684563758389262
YUN3346.2	0.4093567251461988
YUN3346.3	0.2973451327433628
YUN3428.1	0.14690721649484537
YUN3428.2	0.07541322314049587
YUN3428.3	0.10673076923076923
YUN3533.1.1	0.38057948316366486
YUN3533.1.2	0.10442678774120318
YUN3533.1.3	0.18065153010858837
YUN3533.2	0.4876604146100691
YUN3533.3	0.09799426934097422
YUN3856.1.1	0.2660098522167488
YUN3856.1.2	0.3473423980222497
YUN3856.1.3	0.12216828478964402
YUN3856.2	0.0989867498051442
YUN3856.3	0.05327868852459016
