	faith_pd
BAQ2420.1.1	7.266544597852082
BAQ2420.1.2	7.111912329794835
BAQ2420.1.3	6.524882035823721
BAQ2420.2	6.598647141838427
BAQ2420.3	5.567203020353878
BAQ2462.1	4.846309447638051
BAQ2462.2	4.77067723631882
BAQ2462.3	7.569148988674952
BAQ2687.1	5.933649423031824
BAQ2687.2	5.428296040372757
BAQ2687.3	9.174242044910573
BAQ2838.1	4.804007585168513
BAQ2838.2	4.172474026790654
BAQ2838.3	4.583932290728161
BAQ3473.1	7.756292783128934
BAQ3473.2	7.065354790841003
BAQ3473.3	8.497754534701558
BAQ4166.1.1	7.291471231512514
BAQ4166.1.2	7.513147911717418
BAQ4166.1.3	6.62707803886113
BAQ4166.2	8.69331732059643
BAQ4166.3	7.085838753648302
BAQ4697.1	4.802450667166362
BAQ4697.2	6.067678197128419
BAQ4697.3	6.471545497801525
YUN1005.1.1	5.743973557875938
YUN1005.3	3.948207508369007
YUN1242.1	2.963375535490465
YUN1242.3	5.447831070601756
YUN1609.1	3.900719208553328
YUN2029.2	5.877221447906598
YUN3153.2	4.371550054198641
YUN3153.3	4.165525447972698
YUN3259.1.1	
YUN3259.1.2	4.717907177655665
YUN3259.1.3	3.446923228030881
YUN3259.2	7.143813856050835
YUN3259.3	6.344519486903421
YUN3346.1	5.738095919805229
YUN3346.2	2.186687867062171
YUN3346.3	4.439701250400502
YUN3428.1	7.524579777961971
YUN3428.2	10.37451726119261
YUN3428.3	9.133926872899089
YUN3533.1.1	6.755892642090728
YUN3533.1.2	6.748535050057979
YUN3533.1.3	6.59962751944065
YUN3533.2	7.571328652096497
YUN3533.3	9.196219104543774
YUN3856.1.1	6.47064280008361
YUN3856.1.2	7.938431603345842
YUN3856.1.3	7.94827674234735
YUN3856.2	8.769020355081029
YUN3856.3	10.17365689106179
