	observed_features
BAQ2420.1.1	28
BAQ2420.1.2	37
BAQ2420.1.3	34
BAQ2420.2	37
BAQ2420.3	33
BAQ2462.1	36
BAQ2462.2	26
BAQ2462.3	33
BAQ2687.1	27
BAQ2687.2	32
BAQ2687.3	37
BAQ2838.1	20
BAQ2838.2	17
BAQ2838.3	19
BAQ3473.1	43
BAQ3473.2	35
BAQ3473.3	61
BAQ4166.1.1	39
BAQ4166.1.2	50
BAQ4166.1.3	44
BAQ4166.2	50
BAQ4166.3	42
BAQ4697.1	30
BAQ4697.2	38
BAQ4697.3	43
YUN1005.1.1	27
YUN1005.3	18
YUN1242.1	17
YUN1242.3	26
YUN1609.1	20
YUN2029.2	37
YUN3153.2	24
YUN3153.3	30
YUN3259.1.1	0
YUN3259.1.2	27
YUN3259.1.3	15
YUN3259.2	34
YUN3259.3	35
YUN3346.1	33
YUN3346.2	8
YUN3346.3	27
YUN3428.1	39
YUN3428.2	65
YUN3428.3	44
YUN3533.1.1	31
YUN3533.1.2	32
YUN3533.1.3	33
YUN3533.2	36
YUN3533.3	53
YUN3856.1.1	28
YUN3856.1.2	45
YUN3856.1.3	45
YUN3856.2	48
YUN3856.3	59
