	shannon_entropy
BAQ2420.1.1	4.173181616521833
BAQ2420.1.2	4.7055125050580475
BAQ2420.1.3	4.5031708106410955
BAQ2420.2	4.812964823648313
BAQ2420.3	4.741713322535982
BAQ2462.1	4.627553876172383
BAQ2462.2	4.079525293295352
BAQ2462.3	4.502531480341961
BAQ2687.1	4.294519829079247
BAQ2687.2	4.522132203401851
BAQ2687.3	4.659498206435557
BAQ2838.1	4.05194465158475
BAQ2838.2	3.738849868884944
BAQ2838.3	3.7238216910603064
BAQ3473.1	4.676640232299843
BAQ3473.2	4.7390292284425275
BAQ3473.3	5.468912118480067
BAQ4166.1.1	4.8617848514941135
BAQ4166.1.2	5.271959445325325
BAQ4166.1.3	5.012729007068324
BAQ4166.2	5.301270092311199
BAQ4166.3	5.018922618625864
BAQ4697.1	4.270405963471544
BAQ4697.2	4.617938937760893
BAQ4697.3	4.681677067585407
YUN1005.1.1	3.6390099017211237
YUN1005.3	3.299815772167579
YUN1242.1	3.1958444420881147
YUN1242.3	3.701064871454106
YUN1609.1	2.8572005714174056
YUN2029.2	4.267824316004098
YUN3153.2	4.082639262617007
YUN3153.3	4.34776185108753
YUN3259.1.1	
YUN3259.1.2	4.079518485013518
YUN3259.1.3	3.2830736731748353
YUN3259.2	4.800665876718259
YUN3259.3	4.567584052735367
YUN3346.1	4.152862116397066
YUN3346.2	2.520154704149661
YUN3346.3	3.9060061432708997
YUN3428.1	4.6560178886825545
YUN3428.2	5.490915497067077
YUN3428.3	5.077653264232734
YUN3533.1.1	3.785122509580421
YUN3533.1.2	4.53549929721832
YUN3533.1.3	4.581548706539956
YUN3533.2	3.3303572478916283
YUN3533.3	5.286282696746788
YUN3856.1.1	4.133407584439663
YUN3856.1.2	4.197212657606033
YUN3856.1.3	5.1062468661717455
YUN3856.2	5.175249500852561
YUN3856.3	5.612397653111384
